founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
9587	PG	2206458	0.6643085901413072	0.5991439018623593	0.6238241938413819	9584	PG	0.0037571038372270654	0.004391	-0.0006338961627729346	NA
9591	PG	2199952	0.6624528229956921	0.6011043225370138	0.6279379897014357	9527	PG	0.005574208481322046	0.00558	-5.791518677953668e-06	NA
9595	PG	2200224	0.6719010451520276	0.5946242858830265	0.6161107967872582	9596	PG	0.002573761028342245	0.00396	-0.0013862389716577548	NA
9596	PG	2196956	0.7008363732668108	0.5967821289394354	0.6188954051803438	9517	PG	0.006905374088194777	0.006157	0.0007483740881947766	NA
9597	PG	2199671	0.6498846245537542	0.5989501311567852	0.6192053346044989	9584	PG	0.0003322749541792439	0.002438	-0.002105725045820756	NA
9598	PG	2192998	0.7641354065515923	0.5450930152663406	0.5432401285465466	9549	cactus	0.005955436579491317	0.004716	0.001239436579491317	NA
9602	PG	2208397	0.7286892195775323	0.5931027784110098	0.6158828241852972	9857	PG	0.002617384881929472	0.003215	-0.0005976151180705279	NA
9612	PG	2229461	0.7533536190523514	0.6011335213688543	0.6111174844071843	9629	PG	0.006102263327855522	0.005236	0.0008662633278555222	NA
9619	PG	2280174	0.9247668905995833	0.581284313121794	0.5948925287911883	9643	PG	0.0070161125477382815	0.004897	0.002119112547738281	NA
9625	PG	2252991	0.8196965467764811	0.5909413167201318	0.6010853414137846	9629	PG	0.010104500146317244	0.008666	0.0014385001463172436	NA
9629	PG	2251797	0.8196965467764811	0.5967216271518981	0.6071423870890976	9625	PG	0.013062006638076887	0.007314	0.005748006638076887	NA
9632	PG	2272954	0.8855536729623816	0.5819805968021002	0.5967098104303481	9640	PG	0.0037737691583855275	0.003524	0.00024976915838552773	NA
9634	PG	2198021	0.8870702129793426	0.5847275252811435	0.6002363912430512	9619	PG	3.0300147366962696e-05	0.004971	-0.004940699852633037	NA
9640	PG	2261944	0.8855536729623816	0.5820230358327813	0.5981480310871549	9632	PG	0.005549454855376798	0.004721	0.0008284548553767973	NA
9643	PG	2283635	0.9247668905995833	0.5806259554228606	0.5946059744837839	9619	PG	0.011185078480584372	0.004432	0.006753078480584372	NA
9649	PG	2150364	0.7117218690807932	0.6096679111994627	0.6374144156226242	9657	PG	0.0008525647522130562	0.004467	-0.0036144352477869434	NA
9657	PG	2176506	0.7349645704862515	0.6022713962673922	0.6294687662970747	9653	cactus	0.00044952120568622693	0.003292	-0.002842478794313773	NA
